player_name,over,min_runs,max_runs,avg_runs
A Ashish Reddy,4,0,0,0.0
A Ashish Reddy,5,5,5,5.0
A Ashish Reddy,11,1,1,1.0
A Ashish Reddy,12,3,6,4.5
A Ashish Reddy,13,3,12,7.333333333333333
A Ashish Reddy,14,2,12,5.8
A Ashish Reddy,15,0,12,2.75
A Ashish Reddy,16,0,10,2.909090909090909
A Ashish Reddy,17,1,8,3.5
A Ashish Reddy,18,0,12,4.6923076923076925
A Ashish Reddy,19,0,16,4.75
A Badoni,1,1,1,1.0
A Badoni,2,0,1,0.6666666666666666
A Badoni,3,0,4,2.0
A Badoni,4,0,3,0.8
A Badoni,5,0,5,1.75
A Badoni,6,1,6,2.4
A Badoni,7,1,11,4.0
A Badoni,8,1,5,2.0
A Badoni,9,0,9,2.727272727272727
A Badoni,10,0,3,1.1666666666666667
A Badoni,11,1,7,2.5
A Badoni,12,1,8,2.9285714285714284
A Badoni,13,0,15,3.9285714285714284
A Badoni,14,1,15,4.4
A Badoni,15,1,7,3.5
A Badoni,16,0,14,4.473684210526316
A Badoni,17,0,11,4.1
A Badoni,18,0,20,5.473684210526316
A Badoni,19,0,17,5.642857142857143
A Chandila,16,1,1,1.0
A Chandila,17,1,1,1.0
A Chandila,18,1,1,1.0
A Chandila,19,0,1,0.5
A Chopra,0,0,1,0.6666666666666666
A Chopra,1,1,5,2.3333333333333335
A Chopra,2,0,1,0.75
A Chopra,3,0,1,0.5
A Chopra,4,5,5,5.0
A Chopra,5,0,5,3.0
A Chopra,6,1,1,1.0
A Chopra,7,0,4,2.0
A Chopra,8,1,3,2.0
A Chopra,9,4,9,6.5
A Chopra,10,0,1,0.5
A Chopra,14,1,1,1.0
A Chopra,15,1,1,1.0
A Choudhary,15,1,1,1.0
A Choudhary,16,3,3,3.0
A Choudhary,17,1,2,1.5
A Choudhary,18,2,8,5.0
A Choudhary,19,2,6,4.0
A Dananjaya,18,2,2,2.0
A Dananjaya,19,2,2,2.0
A Flintoff,3,1,1,1.0
A Flintoff,4,13,13,13.0
A Flintoff,5,0,0,0.0
A Flintoff,6,1,1,1.0
A Flintoff,7,1,1,1.0
A Flintoff,8,7,7,7.0
A Flintoff,9,1,1,1.0
A Flintoff,10,1,1,1.0
A Flintoff,11,3,3,3.0
A Flintoff,12,3,3,3.0
A Flintoff,13,0,0,0.0
A Flintoff,14,6,6,6.0
A Flintoff,15,3,3,3.0
A Flintoff,16,6,6,6.0
A Flintoff,17,6,6,6.0
A Flintoff,18,2,2,2.0
A Flintoff,19,8,8,8.0
A Kamboj,15,2,2,2.0
A Kumble,13,0,0,0.0
A Kumble,14,1,1,1.0
A Kumble,15,5,5,5.0
A Kumble,17,1,2,1.3333333333333333
A Kumble,18,1,5,2.0
A Kumble,19,0,5,1.25
A Manohar,1,2,2,2.0
A Manohar,2,9,9,9.0
A Manohar,3,1,1,1.0
A Manohar,5,0,0,0.0
A Manohar,6,1,2,1.5
A Manohar,7,0,6,2.25
A Manohar,8,1,4,2.3333333333333335
A Manohar,9,2,7,4.5
A Manohar,10,1,5,2.2
A Manohar,11,1,4,2.2
A Manohar,12,1,13,7.0
A Manohar,13,0,4,1.8
A Manohar,14,1,16,5.8
A Manohar,15,0,7,3.0
A Manohar,16,0,7,3.4
A Manohar,17,0,16,6.833333333333333
A Manohar,18,0,7,3.4
A Manohar,19,0,9,2.5
A Mishra,4,0,0,0.0
A Mishra,5,1,1,1.0
A Mishra,6,1,8,4.5
A Mishra,7,1,5,2.6666666666666665
A Mishra,8,1,5,2.75
A Mishra,9,1,2,1.2
A Mishra,10,1,5,3.0
A Mishra,11,0,4,2.0
A Mishra,12,0,6,1.5
A Mishra,13,0,10,2.1666666666666665
A Mishra,14,0,4,1.4285714285714286
A Mishra,15,0,6,1.6428571428571428
A Mishra,16,0,14,2.923076923076923
A Mishra,17,0,12,3.1176470588235294
A Mishra,18,0,6,1.7307692307692308
A Mishra,19,0,16,3.4827586206896552
A Mithun,10,2,2,2.0
A Mithun,11,9,9,9.0
A Mithun,12,0,0,0.0
A Mithun,13,3,3,3.0
A Mithun,14,1,1,1.0
A Mithun,15,6,6,6.0
A Mithun,16,0,0,0.0
A Mithun,18,2,5,3.5
A Mithun,19,0,6,3.0
A Mukund,0,1,1,1.0
A Mukund,1,1,1,1.0
A Mukund,2,1,1,1.0
A Mukund,3,5,5,5.0
A Mukund,4,2,2,2.0
A Mukund,5,4,4,4.0
A Mukund,6,4,4,4.0
A Mukund,7,1,1,1.0
A Mukund,19,0,0,0.0
A Nehra,15,5,5,5.0
A Nehra,16,7,7,7.0
A Nehra,17,0,5,1.6
A Nehra,18,0,2,0.875
A Nehra,19,0,7,1.0
A Nortje,15,1,1,1.0
A Nortje,16,0,3,1.6666666666666667
A Nortje,17,0,6,3.0
A Nortje,18,0,9,2.1666666666666665
A Nortje,19,0,5,3.142857142857143
A Raghuvanshi,0,1,6,3.5
A Raghuvanshi,1,1,9,5.25
A Raghuvanshi,2,1,6,2.75
A Raghuvanshi,3,0,7,3.4
A Raghuvanshi,4,0,13,5.857142857142857
A Raghuvanshi,5,1,7,3.6666666666666665
A Raghuvanshi,6,0,6,2.1666666666666665
A Raghuvanshi,7,1,9,4.25
A Raghuvanshi,8,2,13,7.0
A Raghuvanshi,9,2,5,2.75
A Raghuvanshi,10,0,13,5.0
A Raghuvanshi,11,2,9,4.2
A Raghuvanshi,12,1,6,3.0
A Raghuvanshi,13,2,5,3.5
A Raghuvanshi,14,2,6,4.333333333333333
A Raghuvanshi,15,0,1,0.6666666666666666
A Raghuvanshi,16,2,2,2.0
A Raghuvanshi,17,8,8,8.0
A Raghuvanshi,18,1,1,1.0
A Singh,14,0,0,0.0
A Singh,16,0,0,0.0
A Singh,17,0,0,0.0
A Singh,18,1,1,1.0
A Singh,19,0,1,0.5
A Symonds,3,0,1,0.25
A Symonds,4,0,11,2.727272727272727
A Symonds,5,0,13,3.1538461538461537
A Symonds,6,0,10,4.0625
A Symonds,7,0,9,3.6875
A Symonds,8,0,8,2.6153846153846154
A Symonds,9,0,15,4.066666666666666
A Symonds,10,0,12,2.736842105263158
A Symonds,11,0,13,4.409090909090909
A Symonds,12,0,11,3.0476190476190474
A Symonds,13,0,13,4.318181818181818
A Symonds,14,0,17,4.555555555555555
A Symonds,15,0,10,3.375
A Symonds,16,1,19,6.733333333333333
A Symonds,17,0,14,4.266666666666667
A Symonds,18,1,16,5.0
A Symonds,19,0,10,2.6666666666666665
A Tomar,1,4,4,4.0
A Tomar,2,0,0,0.0
A Uniyal,17,1,1,1.0
A Uniyal,18,1,1,1.0
A Uniyal,19,0,2,1.0
A Zampa,8,1,1,1.0
A Zampa,9,1,1,1.0
A Zampa,10,0,0,0.0
A Zampa,13,5,5,5.0
A Zampa,14,0,2,1.0
A Zampa,15,0,1,0.5
A Zampa,16,1,1,1.0
A Zampa,17,3,3,3.0
A Zampa,19,0,1,0.5
AA Bilakhia,1,1,10,5.5
AA Bilakhia,2,1,2,1.5
AA Bilakhia,3,1,1,1.0
AA Bilakhia,4,1,4,2.0
AA Bilakhia,5,0,1,0.6666666666666666
AA Bilakhia,6,2,2,2.0
AA Bilakhia,7,1,3,2.0
AA Bilakhia,8,2,2,2.0
AA Bilakhia,9,0,0,0.0
AA Bilakhia,15,1,1,1.0
AA Bilakhia,16,1,3,2.0
AA Bilakhia,17,0,4,1.6666666666666667
AA Bilakhia,18,2,6,3.6666666666666665
AA Bilakhia,19,0,10,4.666666666666667
AA Chavan,13,1,1,1.0
AA Chavan,16,4,4,4.0
AA Chavan,17,0,0,0.0
AA Chavan,18,5,5,5.0
AA Chavan,19,2,2,2.0
AA Jhunjhunwala,0,0,0,0.0
AA Jhunjhunwala,1,1,1,1.0
AA Jhunjhunwala,3,0,1,0.6666666666666666
AA Jhunjhunwala,4,1,5,2.3333333333333335
AA Jhunjhunwala,5,0,7,2.8
AA Jhunjhunwala,6,0,2,1.0
AA Jhunjhunwala,7,0,11,4.142857142857143
AA Jhunjhunwala,8,0,13,3.5
AA Jhunjhunwala,9,0,2,1.4
